freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250063,Christine Johnson,Female,34,Russia,Russian,UI/UX Design,16,$20,2.3,yes,93%
FL250064,Leah Phelps,f,58,Indonesia,Indonesian,Data Analysis,35,USD 50,4.7,no,70%
FL250065,Rebekah Williams,F,50,Russia,Russian,AI,14,,3.5,Y,83%
FL250066,Crystal Wilson,FEMALE,34,Spain,Spanish,Web Development,12,40,2.4,1,64
FL250067,Ashley Cordova,Female,45,Brazil,Portuguese,AI,11,USD 75,4,N,100%
FL250068,Vicki Kelly,FEMALE,55,Brazil,Portuguese,Web Development,0,$40,0,TRUE,
FL250069,Corey Warren,m,,Argentina,Spanish,UI/UX Design,6,100,1.5,FALSE,
FL250070,Gina Thompson,FEMALE,60,China,Mandarin,UI/UX Design,38,$20,2,no,71%
FL250071,Yvonne Berg,f,33,South Africa,Afrikaans,Mobile Apps,11,,,yes,84%
FL250072,Thomas Miller,M,60,Italy,Italian,DevOps,13,USD 50,1,FALSE,
FL250073,Nicholas Burton,MALE,40,United States,English,Web Development,9,$100,4.5,yes,69%
FL250074,Jorge Riley,Male,59,Australia,English,Blockchain Development,4,,1.9,FALSE,88
FL250075,Melvin Harris,M,36,Italy,Italian,Machine Learning,14,$100,3.7,0,
FL250076,Jeremy Meyer,Male,32,India,Hindi,Data Analysis,,30,1.9,TRUE,96%
FL250077,Timothy Lee,male,59,Australia,English,AI,9,USD 75,4,1,96
FL250078,Diana Bautista,F,54,Spain,Spanish,DevOps,32,USD 40,1.8,N,
FL250079,Leslie Rodriguez,f,37,Canada,English,Graphic Design,9,,0,1,89%
FL250080,Noah Wiggins,MALE,54,India,Hindi,Machine Learning,21,$100,4.6,FALSE,
FL250081,Bridget Williams,Female,33,Argentina,Spanish,UI/UX Design,12,100,3.6,0,63%
FL250082,Veronica Baker,f,25,Egypt,Arabic,Web Development,7,USD 40,4.4,,81
FL250083,Andrew Avila,Male,,China,Mandarin,DevOps,3,40,4.6,N,74%
FL250084,Michael Roberson,male,35,South Korea,Korean,Web Development,5,$75,3.2,FALSE,72%
FL250085,Austin Jenkins,Male,59,South Korea,Korean,AI,30,$40,0,TRUE,
FL250086,Brenda Green,female,21,China,Mandarin,DevOps,2,100,2.6,Y,85%
FL250087,Samuel Pierce,M,25,United States,English,Mobile Apps,2,$75,3.7,N,
FL250088,Briana Smith,f,38,Mexico,Spanish,Web Development,19,75,2.3,FALSE,61%
FL250089,Ronald Barrett,Male,57,Russia,Russian,AI,16,100,3.1,FALSE,
FL250090,Matthew Smith,m,32,India,Hindi,Mobile Apps,10,$20,2.4,0,86%
FL250091,Logan Huang,male,21,Italy,Italian,DevOps,2,USD 100,1.6,yes,97%
FL250092,Miranda Hutchinson,Female,57,Canada,English,Cybersecurity,18,50,2.4,1,63%
FL250093,Paul Richardson,male,53,China,Mandarin,UI/UX Design,21,USD 100,,Y,97%
FL250094,Jose Jones,M,35,Russia,Russian,Blockchain Development,3,USD 30,3.8,yes,81%
FL250095,Denise Smith,f,54,China,Mandarin,Machine Learning,17,20,1.7,0,69%
FL250096,Shelby Mcmahon,FEMALE,36,Italy,Italian,UI/UX Design,0,20,1.3,Y,64%
FL250097,Bethany Wright,f,49,Spain,Spanish,Cybersecurity,25,50,5,N,77%
FL250098,David Ortiz,Male,37,United States,English,Blockchain Development,17,20,3.3,0,96
FL250099,Andrew Lynch,MALE,,United States,English,UI/UX Design,5,$20,1.1,no,74%
FL250100,Kristopher Meyers,m,32,Egypt,Arabic,UI/UX Design,10,50,1.2,FALSE,89%
FL250101,Thomas Roth,m,35,India,Hindi,Mobile Apps,0,,2,1,64%
FL250102,Vicki Brown,f,51,Russia,Russian,Graphic Design,2,$30,4.5,0,64
FL250103,Stacy Sutton,f,50,Russia,Russian,DevOps,30,100,3,1,73%
FL250104,Kimberly Holland,f,21,Turkey,Turkish,Blockchain Development,2,$50,4.9,yes,68%
FL250105,Travis Richardson,MALE,25,United States,English,Graphic Design,3,$30,,no,88%
FL250106,Jasmin Ho,FEMALE,57,France,French,DevOps,21,$40,2.5,0,77%
FL250107,Mark Paul,m,58,Russia,Russian,Blockchain Development,3,,0,1,
FL250108,Jennifer Lewis,F,45,Indonesia,Indonesian,Mobile Apps,19,40,,1,72%
FL250109,Elizabeth Lester,F,23,United States,English,Web Development,0,20,4.7,Y,60%
FL250110,Kimberly Griffin,FEMALE,46,United States,English,AI,9,$30,3.5,,72
FL250111,Tyler Warner,MALE,27,Argentina,Spanish,UI/UX Design,5,30,,N,92%
FL250112,Jane Cox,FEMALE,32,United States,English,Machine Learning,6,USD 50,3.4,1,
FL250113,Leah Williams,f,48,Argentina,Spanish,Machine Learning,6,USD 75,2.5,,92%
FL250114,Kevin Wong,male,30,Turkey,Turkish,Mobile Apps,3,$30,1.1,TRUE,
FL250115,Robert Andrews,Male,59,Turkey,Turkish,AI,13,USD 20,4.8,,
FL250116,Jessica Torres,female,32,Mexico,Spanish,AI,5,$30,,0,86%
FL250117,Teresa Kim,Female,57,Egypt,Arabic,UI/UX Design,4,USD 40,3.4,1,68%
FL250118,Jon Morgan,MALE,27,Australia,English,Machine Learning,7,USD 20,3.2,1,62%
FL250119,Gloria Chaney,F,33,Indonesia,Indonesian,Machine Learning,13,20,3.2,FALSE,
FL250120,Jesse Campbell,male,29,South Korea,Korean,Data Analysis,4,30,0,Y,82%
FL250121,Allison Tucker MD,female,36,Indonesia,Indonesian,UI/UX Design,13,75,,1,
FL250122,Candice Petersen,Female,47,Italy,Italian,DevOps,5,$40,3.7,FALSE,93
FL250123,Christopher Nichols,MALE,48,Canada,English,Machine Learning,15,USD 50,1,Y,64%
FL250124,Debra Garcia,f,27,China,Mandarin,UI/UX Design,8,$50,0,,
FL250125,Andrew Fuentes,male,34,Australia,English,Web Development,10,,1.7,N,96%
FL250126,Jason Carter,Male,49,South Korea,Korean,Data Analysis,19,,5,Y,83%
FL250127,Austin Romero,male,30,Brazil,Portuguese,Mobile Apps,10,$100,1.7,yes,64%
FL250128,Clayton Burns,male,31,Egypt,Arabic,Graphic Design,8,40,4.4,0,70%
FL250129,Jonathan Clark,m,58,China,Mandarin,Machine Learning,9,20,0,N,65%
FL250130,Alexander Griffin,Male,47,France,French,Machine Learning,13,40,3.4,,67%
FL250131,Shelly Whitehead,f,45,United Kingdom,English,Cybersecurity,14,USD 100,1.1,no,93
FL250132,Kaitlyn Davis,FEMALE,57,France,French,Machine Learning,0,50,1.6,N,60%
FL250133,Christopher Jones,MALE,50,India,Hindi,Web Development,22,100,4.1,N,62%
FL250134,Cindy Jacobs,FEMALE,,Brazil,Portuguese,Machine Learning,4,,2.5,,70%
FL250135,Penny Day,Female,45,Indonesia,Indonesian,Blockchain Development,22,$100,4,Y,75%
FL250136,Thomas Ingram,MALE,60,South Africa,Afrikaans,Cybersecurity,39,75,1.4,no,70%
FL250137,Donna Hansen,female,43,United Kingdom,English,Cybersecurity,5,USD 50,,1,84%
FL250138,Donna Bailey,F,39,France,French,Cybersecurity,5,USD 40,1.2,0,83
FL250139,Joshua Armstrong,male,26,Mexico,Spanish,UI/UX Design,5,50,0,N,
FL250140,Jonathan Garza,m,31,Germany,German,Cybersecurity,11,50,3.1,FALSE,88%
FL250141,Charles Jones,m,52,France,French,UI/UX Design,15,50,0,yes,81%
FL250142,Lindsey Miles,female,34,India,Hindi,Data Analysis,5,USD 20,2.2,Y,80%
FL250143,Eduardo Reed,male,45,United Kingdom,English,Web Development,7,75,3,1,67%
FL250144,Lee Fowler,m,46,United Kingdom,English,Cybersecurity,9,$20,0,N,82%
FL250145,Steven Jones Jr.,m,56,France,French,UI/UX Design,21,USD 100,0,TRUE,78
FL250146,Ashley Chen,FEMALE,59,Germany,German,AI,7,$40,1.4,FALSE,81%
FL250147,Erica Davis,FEMALE,54,Egypt,Arabic,Blockchain Development,4,,1.4,TRUE,74%
FL250148,Wayne Gonzales,M,36,Germany,German,UI/UX Design,7,30,0,N,88%
FL250149,Gary Ballard,male,25,Mexico,Spanish,Data Analysis,0,40,0,0,90%
FL250150,Maria Mcguire,FEMALE,37,Russia,Russian,Data Analysis,15,$40,2.9,FALSE,
FL250151,Matthew Richards,M,,Turkey,Turkish,Data Analysis,10,USD 40,0,,
FL250152,Patrick Malone,m,29,Spain,Spanish,Data Analysis,11,20,2.7,no,93%
FL250153,Cindy Martin,female,55,Argentina,Spanish,Mobile Apps,12,100,1.8,1,
FL250154,Anne Edwards,Female,38,Japan,Japanese,DevOps,20,$75,1.1,no,71%
FL250155,Mitchell Martin,Male,47,South Korea,Korean,DevOps,29,$40,4.3,1,95%
FL250156,Mitchell Patrick,M,60,Brazil,Portuguese,Web Development,15,100,1.5,0,80
FL250157,Rebecca Lyons,FEMALE,43,Italy,Italian,Data Analysis,9,$20,2.2,N,
FL250158,Christian Lopez,Male,56,South Africa,Afrikaans,Data Analysis,,100,3.2,0,62%
FL250159,Nathan Blair,male,42,Russia,Russian,DevOps,2,$50,1.9,FALSE,95%
FL250160,Patricia Lopez,Female,20,Spain,Spanish,Graphic Design,0,40,2.5,0,79%
FL250161,Michelle Wu,female,47,Indonesia,Indonesian,UI/UX Design,12,40,4.5,no,62%
FL250162,Donald Mitchell,m,,Argentina,Spanish,Data Analysis,12,$30,4.1,no,68%
FL250163,Sean Gordon,M,56,Indonesia,Indonesian,DevOps,15,USD 75,0,no,
FL250164,Gregory Clarke,Male,59,United Kingdom,English,DevOps,29,USD 75,,0,80%
FL250165,Steven Whitney,MALE,56,Japan,Japanese,Cybersecurity,15,40,3.7,,92%
FL250166,Robin Acosta,female,31,South Africa,Afrikaans,Web Development,,USD 75,1.3,1,65%
FL250167,John Smith,m,60,South Korea,Korean,Mobile Apps,33,40,3.6,1,87%
FL250168,Susan Baker,FEMALE,31,Canada,English,Web Development,10,75,0,no,70%
FL250169,Anthony Larsen,MALE,60,Argentina,Spanish,Cybersecurity,20,40,1.4,no,87
FL250170,Nicholas Carpenter,MALE,46,France,French,DevOps,23,20,2.9,N,72%
FL250171,Debra Salazar,F,,Netherlands,Dutch,Blockchain Development,,40,2.8,N,80%
FL250172,William Smith,Male,34,Japan,Japanese,UI/UX Design,0,20,1.7,0,66%
FL250173,Caroline Gross,f,42,Netherlands,Dutch,Graphic Design,7,USD 40,0,1,
FL250174,Jeremy Sawyer,M,31,United Kingdom,English,Data Analysis,4,USD 75,1.1,TRUE,64%
FL250175,Eduardo Burns,male,29,Brazil,Portuguese,UI/UX Design,9,20,,,68%
FL250176,Amanda Jones,female,57,Australia,English,Graphic Design,17,20,3.6,0,63%
FL250177,Frederick Ware,MALE,47,India,Hindi,DevOps,8,20,4.5,1,72%
FL250178,Michael Black,MALE,47,South Africa,Afrikaans,AI,14,$30,0,TRUE,86%
FL250179,Patricia Sanders,FEMALE,45,France,French,Graphic Design,21,USD 30,1.5,1,73%
FL250180,Marc Joseph,m,24,Turkey,Turkish,Machine Learning,1,$30,3.7,no,95%
FL250181,Vanessa White,FEMALE,31,Argentina,Spanish,Mobile Apps,12,20,2.3,FALSE,90%
FL250182,Jennifer Garcia,F,20,Mexico,Spanish,Graphic Design,2,$20,2.8,0,78%
FL250183,Michael Zavala,MALE,38,Japan,Japanese,Web Development,3,30,3.5,no,97%
FL250184,Kimberly Williams,female,33,Germany,German,UI/UX Design,11,,0,yes,65%
FL250185,Elizabeth Jenkins,F,31,Australia,English,Web Development,4,40,3.2,1,78%
FL250186,Brandon Ford,m,41,Spain,Spanish,Machine Learning,21,50,3.3,Y,65%
FL250187,Justin House,MALE,54,Turkey,Turkish,Web Development,0,$20,4.9,,
FL250188,Henry Mullen,male,50,Mexico,Spanish,Data Analysis,6,30,2.2,1,95%
FL250189,Jesse Cochran,MALE,48,Brazil,Portuguese,Machine Learning,18,USD 40,,1,88%
FL250190,Melissa Rich,f,49,Mexico,Spanish,Graphic Design,,,1.8,0,
FL250191,Patrick Dunlap,Male,21,South Korea,Korean,Graphic Design,1,75,4.6,0,92%
FL250192,Troy Carson,M,58,Australia,English,Graphic Design,20,75,2.8,no,75%
FL250193,Matthew Smith,MALE,41,Italy,Italian,DevOps,,$30,1.4,FALSE,74%
FL250194,Jennifer Cherry,F,58,Russia,Russian,Blockchain Development,25,$30,4.2,Y,71%
FL250195,Brandi Tucker,female,50,South Africa,Afrikaans,Graphic Design,20,USD 40,3.6,1,89%
FL250196,Zachary Burke,m,52,Indonesia,Indonesian,Web Development,33,$100,1.6,,66%
FL250197,Thomas Jones,m,34,Netherlands,Dutch,Data Analysis,6,$100,2,no,
FL250198,Brian Dunn,Male,32,France,French,Machine Learning,11,40,4.3,TRUE,86%
FL250199,Shirley Strickland,F,50,India,Hindi,Graphic Design,28,$100,4.9,Y,86%
FL250200,Nicole Meyers,female,39,Argentina,Spanish,Data Analysis,11,100,3.5,Y,82%
FL250201,Jill Stephens,f,25,Spain,Spanish,AI,2,100,2.5,no,87
FL250202,Heidi Miranda,FEMALE,55,China,Mandarin,Machine Learning,7,100,1.7,1,80%
FL250203,Jesus Martinez,m,42,Italy,Italian,DevOps,10,USD 100,4.6,Y,71%
FL250204,Adam Payne,male,43,Russia,Russian,Mobile Apps,6,50,,N,77%
FL250205,Walter Williams,m,54,Italy,Italian,DevOps,29,$30,1.7,0,68
FL250206,Shannon Farmer,FEMALE,21,Egypt,Arabic,Graphic Design,0,20,1.8,N,91%
FL250207,Peter Reyes,m,46,Canada,English,UI/UX Design,5,20,2.2,FALSE,75%
FL250208,Kristen Knight,f,30,Spain,Spanish,Blockchain Development,11,40,1,N,90%
FL250209,William Moore Jr.,male,36,China,Mandarin,Machine Learning,11,$75,3.2,0,93
FL250210,Jennifer Rowe,Female,47,Germany,German,Data Analysis,15,40,2.1,yes,94%
FL250211,Mikayla Henry,F,43,Canada,English,Mobile Apps,1,USD 50,4.6,TRUE,64
FL250212,Jacob Kerr,m,57,South Korea,Korean,Cybersecurity,8,$20,0,yes,84%
FL250213,Ryan Johnson,male,52,Italy,Italian,Machine Learning,30,$20,2.8,no,87%
FL250214,Michael Ruiz,MALE,,Germany,German,Blockchain Development,8,$40,0,N,64%
FL250215,Monica Roberts,female,22,Indonesia,Indonesian,Machine Learning,0,100,2.7,TRUE,64%
FL250216,Danny Brown,m,,India,Hindi,Machine Learning,12,$20,0,TRUE,80%
FL250217,Karen Larsen,F,58,Spain,Spanish,Mobile Apps,4,$50,3.1,0,90%
FL250218,Robert Evans,M,39,South Korea,Korean,Web Development,14,USD 100,0,Y,92%
FL250219,Sean Poole,M,32,Indonesia,Indonesian,Graphic Design,14,,,0,96%
FL250220,Richard Quinn,m,37,Canada,English,UI/UX Design,2,$30,2.3,yes,
FL250221,Jennifer Gonzalez,FEMALE,21,China,Mandarin,Cybersecurity,2,100,2.4,Y,
FL250222,James Skinner,MALE,41,South Korea,Korean,Machine Learning,4,75,2.6,,85%
FL250223,Michelle Hill,f,21,Canada,English,AI,0,USD 40,1.1,0,79%
FL250224,Jacqueline Williams,F,58,China,Mandarin,Machine Learning,9,30,0,1,65%
FL250225,Darrell Johnson,Male,60,Canada,English,Machine Learning,3,40,4.7,FALSE,63%
FL250226,Ryan Crawford,M,27,South Africa,Afrikaans,Web Development,2,$40,1.2,FALSE,
FL250227,Chelsea Barber,f,29,Germany,German,Machine Learning,10,USD 40,1.2,FALSE,78%
FL250228,Elaine Martinez,Female,54,Canada,English,Graphic Design,33,$75,0,1,62%
FL250229,Joseph Kent,M,52,Mexico,Spanish,Machine Learning,12,40,1.2,0,76%
FL250230,Megan Welch,FEMALE,55,Indonesia,Indonesian,Blockchain Development,18,100,2.9,0,97
FL250231,Stephen Ramirez,male,37,Brazil,Portuguese,Blockchain Development,4,,,N,
FL250232,Chloe Gray,f,34,Egypt,Arabic,Data Analysis,11,$50,3.9,1,82%
FL250233,Michael Williams Jr.,m,20,France,French,Data Analysis,1,50,3.1,,71%
FL250234,Matthew Martin,m,22,Mexico,Spanish,UI/UX Design,2,,0,1,
FL250235,Julia Murphy,f,23,South Korea,Korean,Graphic Design,2,50,3.2,TRUE,
FL250236,Anna Evans,F,53,South Korea,Korean,Blockchain Development,34,30,,Y,
FL250237,Brenda Fleming,F,56,South Korea,Korean,Graphic Design,27,100,4.7,TRUE,69%
FL250238,Daniel Harrington,M,27,Canada,English,AI,4,75,5,0,88%
FL250239,Daniel Barnett,Male,34,Italy,Italian,Mobile Apps,11,USD 40,,FALSE,67%
FL250240,Mark Cummings,M,29,United States,English,Web Development,4,USD 50,4,0,
FL250241,Christopher Guerra,M,34,India,Hindi,AI,11,,1.2,1,
FL250242,Sarah Ho,female,32,Mexico,Spanish,AI,1,100,4.7,0,67%
FL250243,Veronica Thomas,f,21,South Africa,Afrikaans,Machine Learning,2,20,2.4,,86%
FL250244,Mitchell Watson,MALE,20,Mexico,Spanish,Graphic Design,2,,1.1,FALSE,69%
FL250245,Monica Murphy,FEMALE,35,United States,English,Mobile Apps,10,50,1.4,TRUE,85%
FL250246,Kristen Williams,f,47,United States,English,UI/UX Design,18,40,3.4,0,60
FL250247,Nicole Wright,f,41,Turkey,Turkish,Blockchain Development,4,40,2.7,1,70
FL250248,Andrew Ruiz,male,58,Argentina,Spanish,Web Development,23,,4.9,FALSE,
FL250249,Zachary Jackson,m,34,China,Mandarin,Data Analysis,6,75,1.9,1,81%
FL250250,Stephanie Carter,f,50,India,Hindi,Mobile Apps,5,100,,1,
FL250251,Amy Olson,f,42,Mexico,Spanish,DevOps,19,USD 75,4.6,0,78%
FL250252,Fred Stark,M,43,Germany,German,UI/UX Design,6,50,0,0,81
FL250253,Jacob Gill,Male,34,Germany,German,Data Analysis,8,75,1.8,1,71%
FL250254,Anthony Nichols,Male,24,Spain,Spanish,Mobile Apps,3,75,2,FALSE,
FL250255,William Knapp,m,48,South Africa,Afrikaans,UI/UX Design,8,30,5,1,99%
FL250256,Elizabeth Walker,F,39,South Korea,Korean,Data Analysis,12,$20,3.2,TRUE,66%
FL250257,Brenda Reeves,F,57,Australia,English,Blockchain Development,30,$30,2.4,,80%
FL250258,Carrie Little,FEMALE,44,Canada,English,Web Development,21,100,2.9,0,83%
FL250259,Steven Jackson,male,37,Brazil,Portuguese,UI/UX Design,17,USD 20,0,yes,87
FL250260,Mark Perry,Male,50,Turkey,Turkish,Data Analysis,9,30,3,0,76
FL250261,Cameron Spencer,Male,50,Spain,Spanish,UI/UX Design,2,50,1.6,no,89%
FL250262,Jennifer Holmes,Female,28,France,French,Graphic Design,1,20,3.6,yes,94%
FL250263,Jacob Joseph,Male,48,Italy,Italian,Web Development,23,,2.1,0,68%
FL250264,Jeffery Tucker,Male,42,Germany,German,DevOps,8,30,3.6,1,96%
FL250265,Jacqueline Drake,Female,37,Canada,English,Data Analysis,6,$20,2.7,TRUE,91%
FL250266,Brian Bautista,Male,21,India,Hindi,Blockchain Development,1,100,2.1,1,92%
FL250267,Dakota Wells,MALE,50,South Korea,Korean,Web Development,19,$40,4.9,,82%
FL250268,Julie White,F,22,Argentina,Spanish,AI,2,30,2.1,,
FL250269,Barbara Keith,Female,39,Japan,Japanese,Web Development,21,100,0,no,91%
FL250270,Heather Camacho,Female,25,Japan,Japanese,Machine Learning,3,$50,2.8,yes,86
FL250271,Melanie Harris,FEMALE,47,South Africa,Afrikaans,Mobile Apps,14,,,FALSE,69%
FL250272,Jacqueline Peterson,f,35,South Africa,Afrikaans,UI/UX Design,10,USD 100,4.7,TRUE,84%
FL250273,Nancy Long,f,,United Kingdom,English,Cybersecurity,5,100,1.3,0,60%
FL250274,Mr. Juan Mitchell,male,35,Netherlands,Dutch,Blockchain Development,6,USD 75,1.6,1,97%
FL250275,William Gaines,Male,59,France,French,Web Development,21,100,0,,70%
FL250276,Haley Yates,FEMALE,26,China,Mandarin,UI/UX Design,4,USD 100,3.6,no,81%
FL250277,Richard Mcguire,MALE,44,Russia,Russian,Machine Learning,18,20,4.7,1,88%
FL250278,Stephanie Fisher,Female,31,South Africa,Afrikaans,UI/UX Design,12,$40,,1,100%
FL250279,Anthony Goodwin DDS,male,60,Turkey,Turkish,Data Analysis,6,,3.2,0,95
FL250280,Meagan Walters,female,23,United Kingdom,English,Blockchain Development,4,USD 20,,0,71%
FL250281,David Powell,M,42,Indonesia,Indonesian,UI/UX Design,13,$20,4.7,N,85%
FL250282,Kelly Jones,f,48,India,Hindi,Mobile Apps,6,30,,N,96%
FL250283,Dr. Michael Aguilar,m,42,Netherlands,Dutch,Graphic Design,10,USD 20,2.4,Y,92%
FL250284,Alex Novak,M,52,South Korea,Korean,Cybersecurity,20,50,,FALSE,79%
FL250285,Ann Contreras,female,55,Japan,Japanese,Web Development,20,75,2.9,FALSE,
FL250286,Mary Reed,f,58,South Africa,Afrikaans,Cybersecurity,11,50,0,0,
FL250287,Lauren Ross,FEMALE,46,South Korea,Korean,Machine Learning,12,20,0,FALSE,89%
FL250288,Candice Wise,FEMALE,45,Spain,Spanish,Machine Learning,1,100,1.5,1,100%
FL250289,Joyce Humphrey,FEMALE,56,India,Hindi,Machine Learning,2,30,1.9,1,81%
FL250290,James Carr,male,44,United Kingdom,English,Blockchain Development,13,100,3.1,Y,95
FL250291,Joseph Mendoza,Male,46,Indonesia,Indonesian,UI/UX Design,0,,1.8,N,88%
FL250292,Cathy Baldwin,Female,27,Japan,Japanese,Web Development,7,30,2.4,yes,66%
FL250293,Christine Hart,FEMALE,49,India,Hindi,Blockchain Development,13,100,4.2,1,84%
FL250294,Mike Stanley,Male,53,Mexico,Spanish,Web Development,21,$50,1.4,N,
FL250295,Jeffrey Edwards,Male,56,Australia,English,Web Development,19,40,1.2,Y,82%
FL250296,Amy Lee,FEMALE,56,United Kingdom,English,DevOps,34,,2.1,yes,84%
FL250297,Mark Thompson,MALE,38,South Africa,Afrikaans,Data Analysis,3,100,1.4,FALSE,73%
FL250298,Alex Wilson,M,20,South Korea,Korean,Mobile Apps,0,30,3.8,,93%
