Column1,Freelancer_Id,Name,Gender,Age,Country,Language,Skill,Experience,Hourly_Rate(Usd),Rating,Is_Active,Client_Satisfaction
55,250056,Larry Simpson,Male,50,United Kingdom,English,AI,15,40,2,TRUE,0.65
56,250057,Laura Price,Female,26,United Kingdom,English,DevOps,8,50,1.3,FALSE,0.76
57,250058,Mark Wright,Male,38,Canada,English,AI,17,40,4,TRUE,0.9
58,250059,Samantha Mcdaniel,Female,23,India,Hindi,Mobile Apps,9,75,3.6,TRUE,0.65
59,250060,Barbara Foster,Female,51,South Africa,Afrikaans,DevOps,28,40,3.9,FALSE,0.63
60,250061,Courtney Tran,Female,51,Indonesia,Indonesian,AI,33,75,0,TRUE,0.79
61,250062,Eddie Todd,Male,47,Germany,German,AI,18,75,0,FALSE,0.79
62,250063,Christine Johnson,Female,34,Russia,Russian,UI/UX Design,16,20,2.3,TRUE,0.93
63,250064,Leah Phelps,Female,58,Indonesia,Indonesian,Data Analysis,35,50,4.7,FALSE,0.7
64,250065,Rebekah Williams,Female,50,Russia,Russian,AI,14,40,3.5,TRUE,0.83
65,250066,Crystal Wilson,Female,34,Spain,Spanish,Web Development,12,40,2.4,TRUE,0.64
66,250067,Ashley Cordova,Female,45,Brazil,Portuguese,AI,11,75,4,FALSE,1
67,250068,Vicki Kelly,Female,55,Brazil,Portuguese,Web Development,0,40,0,TRUE,0.79
68,250069,Corey Warren,Male,41,Argentina,Spanish,UI/UX Design,6,100,1.5,FALSE,0.79
69,250070,Gina Thompson,Female,60,China,Mandarin,UI/UX Design,38,20,2,FALSE,0.71
70,250071,Yvonne Berg,Female,33,South Africa,Afrikaans,Mobile Apps,11,40,2.5,TRUE,0.84
71,250072,Thomas Miller,Male,60,Italy,Italian,DevOps,13,50,1,FALSE,0.79
72,250073,Nicholas Burton,Male,40,United States,English,Web Development,9,100,4.5,TRUE,0.69
73,250074,Jorge Riley,Male,59,Australia,English,Blockchain Development,4,40,1.9,FALSE,0.88
74,250075,Melvin Harris,Male,36,Italy,Italian,Machine Learning,14,100,3.7,FALSE,0.79
75,250076,Jeremy Meyer,Male,32,India,Hindi,Data Analysis,9,30,1.9,TRUE,0.96
76,250077,Timothy Lee,Male,59,Australia,English,AI,9,75,4,TRUE,0.96
77,250078,Diana Bautista,Female,54,Spain,Spanish,DevOps,32,40,1.8,FALSE,0.79
78,250079,Leslie Rodriguez,Female,37,Canada,English,Graphic Design,9,40,0,TRUE,0.89
79,250080,Noah Wiggins,Male,54,India,Hindi,Machine Learning,21,100,4.6,FALSE,0.79
80,250081,Bridget Williams,Female,33,Argentina,Spanish,UI/UX Design,12,100,3.6,FALSE,0.63
81,250082,Veronica Baker,Female,25,Egypt,Arabic,Web Development,7,40,4.4,Unknown,0.81
82,250083,Andrew Avila,Male,41,China,Mandarin,DevOps,3,40,4.6,FALSE,0.74
83,250084,Michael Roberson,Male,35,South Korea,Korean,Web Development,5,75,3.2,FALSE,0.72
84,250085,Austin Jenkins,Male,59,South Korea,Korean,AI,30,40,0,TRUE,0.79
85,250086,Brenda Green,Female,21,China,Mandarin,DevOps,2,100,2.6,TRUE,0.85
86,250087,Samuel Pierce,Male,25,United States,English,Mobile Apps,2,75,3.7,FALSE,0.79
87,250088,Briana Smith,Female,38,Mexico,Spanish,Web Development,19,75,2.3,FALSE,0.61
88,250089,Ronald Barrett,Male,57,Russia,Russian,AI,16,100,3.1,FALSE,0.79
89,250090,Matthew Smith,Male,32,India,Hindi,Mobile Apps,10,20,2.4,FALSE,0.86
90,250091,Logan Huang,Male,21,Italy,Italian,DevOps,2,100,1.6,TRUE,0.97
91,250092,Miranda Hutchinson,Female,57,Canada,English,Cybersecurity,18,50,2.4,TRUE,0.63
92,250093,Paul Richardson,Male,53,China,Mandarin,UI/UX Design,21,100,2.5,TRUE,0.97
93,250094,Jose Jones,Male,35,Russia,Russian,Blockchain Development,3,30,3.8,TRUE,0.81
94,250095,Denise Smith,Female,54,China,Mandarin,Machine Learning,17,20,1.7,FALSE,0.69
95,250096,Shelby Mcmahon,Female,36,Italy,Italian,UI/UX Design,0,20,1.3,TRUE,0.64
96,250097,Bethany Wright,Female,49,Spain,Spanish,Cybersecurity,25,50,5,FALSE,0.77
97,250098,David Ortiz,Male,37,United States,English,Blockchain Development,17,20,3.3,FALSE,0.96
98,250099,Andrew Lynch,Male,41,United States,English,UI/UX Design,5,20,1.1,FALSE,0.74
99,250100,Kristopher Meyers,Male,32,Egypt,Arabic,UI/UX Design,10,50,1.2,FALSE,0.89
100,250101,Thomas Roth,Male,35,India,Hindi,Mobile Apps,0,40,2,TRUE,0.64
101,250102,Vicki Brown,Female,51,Russia,Russian,Graphic Design,2,30,4.5,FALSE,0.64
102,250103,Stacy Sutton,Female,50,Russia,Russian,DevOps,30,100,3,TRUE,0.73
103,250104,Kimberly Holland,Female,21,Turkey,Turkish,Blockchain Development,2,50,4.9,TRUE,0.68
104,250105,Travis Richardson,Male,25,United States,English,Graphic Design,3,30,2.5,FALSE,0.88
105,250106,Jasmin Ho,Female,57,France,French,DevOps,21,40,2.5,FALSE,0.77
106,250107,Mark Paul,Male,58,Russia,Russian,Blockchain Development,3,40,0,TRUE,0.79
107,250108,Jennifer Lewis,Female,45,Indonesia,Indonesian,Mobile Apps,19,40,2.5,TRUE,0.72
108,250109,Elizabeth Lester,Female,23,United States,English,Web Development,0,20,4.7,TRUE,0.6
109,250110,Kimberly Griffin,Female,46,United States,English,AI,9,30,3.5,Unknown,0.72
110,250111,Tyler Warner,Male,27,Argentina,Spanish,UI/UX Design,5,30,2.5,FALSE,0.92
111,250112,Jane Cox,Female,32,United States,English,Machine Learning,6,50,3.4,TRUE,0.79
112,250113,Leah Williams,Female,48,Argentina,Spanish,Machine Learning,6,75,2.5,Unknown,0.92
113,250114,Kevin Wong,Male,30,Turkey,Turkish,Mobile Apps,3,30,1.1,TRUE,0.79
114,250115,Robert Andrews,Male,59,Turkey,Turkish,AI,13,20,4.8,Unknown,0.79
115,250116,Jessica Torres,Female,32,Mexico,Spanish,AI,5,30,2.5,FALSE,0.86
116,250117,Teresa Kim,Female,57,Egypt,Arabic,UI/UX Design,4,40,3.4,TRUE,0.68
117,250118,Jon Morgan,Male,27,Australia,English,Machine Learning,7,20,3.2,TRUE,0.62
118,250119,Gloria Chaney,Female,33,Indonesia,Indonesian,Machine Learning,13,20,3.2,FALSE,0.79
119,250120,Jesse Campbell,Male,29,South Korea,Korean,Data Analysis,4,30,0,TRUE,0.82
120,250121,Allison Tucker MD,Female,36,Indonesia,Indonesian,UI/UX Design,13,75,2.5,TRUE,0.79
121,250122,Candice Petersen,Female,47,Italy,Italian,DevOps,5,40,3.7,FALSE,0.93
122,250123,Christopher Nichols,Male,48,Canada,English,Machine Learning,15,50,1,TRUE,0.64
123,250124,Debra Garcia,Female,27,China,Mandarin,UI/UX Design,8,50,0,Unknown,0.79
124,250125,Andrew Fuentes,Male,34,Australia,English,Web Development,10,40,1.7,FALSE,0.96
125,250126,Jason Carter,Male,49,South Korea,Korean,Data Analysis,19,40,5,TRUE,0.83
126,250127,Austin Romero,Male,30,Brazil,Portuguese,Mobile Apps,10,100,1.7,TRUE,0.64
127,250128,Clayton Burns,Male,31,Egypt,Arabic,Graphic Design,8,40,4.4,FALSE,0.7
128,250129,Jonathan Clark,Male,58,China,Mandarin,Machine Learning,9,20,0,FALSE,0.65
129,250130,Alexander Griffin,Male,47,France,French,Machine Learning,13,40,3.4,Unknown,0.67
130,250131,Shelly Whitehead,Female,45,United Kingdom,English,Cybersecurity,14,100,1.1,FALSE,0.93
131,250132,Kaitlyn Davis,Female,57,France,French,Machine Learning,0,50,1.6,FALSE,0.6
132,250133,Christopher Jones,Male,50,India,Hindi,Web Development,22,100,4.1,FALSE,0.62
133,250134,Cindy Jacobs,Female,41,Brazil,Portuguese,Machine Learning,4,40,2.5,Unknown,0.7
134,250135,Penny Day,Female,45,Indonesia,Indonesian,Blockchain Development,22,100,4,TRUE,0.75
135,250136,Thomas Ingram,Male,60,South Africa,Afrikaans,Cybersecurity,39,75,1.4,FALSE,0.7
136,250137,Donna Hansen,Female,43,United Kingdom,English,Cybersecurity,5,50,2.5,TRUE,0.84
137,250138,Donna Bailey,Female,39,France,French,Cybersecurity,5,40,1.2,FALSE,0.83
138,250139,Joshua Armstrong,Male,26,Mexico,Spanish,UI/UX Design,5,50,0,FALSE,0.79
139,250140,Jonathan Garza,Male,31,Germany,German,Cybersecurity,11,50,3.1,FALSE,0.88
140,250141,Charles Jones,Male,52,France,French,UI/UX Design,15,50,0,TRUE,0.81
141,250142,Lindsey Miles,Female,34,India,Hindi,Data Analysis,5,20,2.2,TRUE,0.8
142,250143,Eduardo Reed,Male,45,United Kingdom,English,Web Development,7,75,3,TRUE,0.67
143,250144,Lee Fowler,Male,46,United Kingdom,English,Cybersecurity,9,20,0,FALSE,0.82
144,250145,Steven Jones Jr.,Male,56,France,French,UI/UX Design,21,100,0,TRUE,0.78
145,250146,Ashley Chen,Female,59,Germany,German,AI,7,40,1.4,FALSE,0.81
146,250147,Erica Davis,Female,54,Egypt,Arabic,Blockchain Development,4,40,1.4,TRUE,0.74
147,250148,Wayne Gonzales,Male,36,Germany,German,UI/UX Design,7,30,0,FALSE,0.88
148,250149,Gary Ballard,Male,25,Mexico,Spanish,Data Analysis,0,40,0,FALSE,0.9
149,250150,Maria Mcguire,Female,37,Russia,Russian,Data Analysis,15,40,2.9,FALSE,0.79
150,250151,Matthew Richards,Male,41,Turkey,Turkish,Data Analysis,10,40,0,Unknown,0.79
151,250152,Patrick Malone,Male,29,Spain,Spanish,Data Analysis,11,20,2.7,FALSE,0.93
152,250153,Cindy Martin,Female,55,Argentina,Spanish,Mobile Apps,12,100,1.8,TRUE,0.79
153,250154,Anne Edwards,Female,38,Japan,Japanese,DevOps,20,75,1.1,FALSE,0.71
154,250155,Mitchell Martin,Male,47,South Korea,Korean,DevOps,29,40,4.3,TRUE,0.95
155,250156,Mitchell Patrick,Male,60,Brazil,Portuguese,Web Development,15,100,1.5,FALSE,0.8
156,250157,Rebecca Lyons,Female,43,Italy,Italian,Data Analysis,9,20,2.2,FALSE,0.79
157,250158,Christian Lopez,Male,56,South Africa,Afrikaans,Data Analysis,9,100,3.2,FALSE,0.62
158,250159,Nathan Blair,Male,42,Russia,Russian,DevOps,2,50,1.9,FALSE,0.95
159,250160,Patricia Lopez,Female,20,Spain,Spanish,Graphic Design,0,40,2.5,FALSE,0.79
160,250161,Michelle Wu,Female,47,Indonesia,Indonesian,UI/UX Design,12,40,4.5,FALSE,0.62
161,250162,Donald Mitchell,Male,41,Argentina,Spanish,Data Analysis,12,30,4.1,FALSE,0.68
162,250163,Sean Gordon,Male,56,Indonesia,Indonesian,DevOps,15,75,0,FALSE,0.79
163,250164,Gregory Clarke,Male,59,United Kingdom,English,DevOps,29,75,2.5,FALSE,0.8
164,250165,Steven Whitney,Male,56,Japan,Japanese,Cybersecurity,15,40,3.7,Unknown,0.92
165,250166,Robin Acosta,Female,31,South Africa,Afrikaans,Web Development,9,75,1.3,TRUE,0.65
166,250167,John Smith,Male,60,South Korea,Korean,Mobile Apps,33,40,3.6,TRUE,0.87
167,250168,Susan Baker,Female,31,Canada,English,Web Development,10,75,0,FALSE,0.7
168,250169,Anthony Larsen,Male,60,Argentina,Spanish,Cybersecurity,20,40,1.4,FALSE,0.87
169,250170,Nicholas Carpenter,Male,46,France,French,DevOps,23,20,2.9,FALSE,0.72
170,250171,Debra Salazar,Female,41,Netherlands,Dutch,Blockchain Development,9,40,2.8,FALSE,0.8
171,250172,William Smith,Male,34,Japan,Japanese,UI/UX Design,0,20,1.7,FALSE,0.66
172,250173,Caroline Gross,Female,42,Netherlands,Dutch,Graphic Design,7,40,0,TRUE,0.79
173,250174,Jeremy Sawyer,Male,31,United Kingdom,English,Data Analysis,4,75,1.1,TRUE,0.64
174,250175,Eduardo Burns,Male,29,Brazil,Portuguese,UI/UX Design,9,20,2.5,Unknown,0.68
175,250176,Amanda Jones,Female,57,Australia,English,Graphic Design,17,20,3.6,FALSE,0.63
176,250177,Frederick Ware,Male,47,India,Hindi,DevOps,8,20,4.5,TRUE,0.72
177,250178,Michael Black,Male,47,South Africa,Afrikaans,AI,14,30,0,TRUE,0.86
178,250179,Patricia Sanders,Female,45,France,French,Graphic Design,21,30,1.5,TRUE,0.73
179,250180,Marc Joseph,Male,24,Turkey,Turkish,Machine Learning,1,30,3.7,FALSE,0.95
180,250181,Vanessa White,Female,31,Argentina,Spanish,Mobile Apps,12,20,2.3,FALSE,0.9
181,250182,Jennifer Garcia,Female,20,Mexico,Spanish,Graphic Design,2,20,2.8,FALSE,0.78
182,250183,Michael Zavala,Male,38,Japan,Japanese,Web Development,3,30,3.5,FALSE,0.97
183,250184,Kimberly Williams,Female,33,Germany,German,UI/UX Design,11,50,0,TRUE,0.65
184,250185,Elizabeth Jenkins,Female,31,Australia,English,Web Development,4,40,3.2,TRUE,0.78
185,250186,Brandon Ford,Male,41,Spain,Spanish,Machine Learning,21,50,3.3,TRUE,0.65
186,250187,Justin House,Male,54,Turkey,Turkish,Web Development,0,20,4.9,Unknown,0.79
187,250188,Henry Mullen,Male,50,Mexico,Spanish,Data Analysis,6,30,2.2,TRUE,0.95
188,250189,Jesse Cochran,Male,48,Brazil,Portuguese,Machine Learning,18,40,2.5,TRUE,0.88
189,250190,Melissa Rich,Female,49,Mexico,Spanish,Graphic Design,9,40,1.8,FALSE,0.79
190,250191,Patrick Dunlap,Male,21,South Korea,Korean,Graphic Design,1,75,4.6,FALSE,0.92
191,250192,Troy Carson,Male,58,Australia,English,Graphic Design,20,75,2.8,FALSE,0.75
192,250193,Matthew Smith,Male,41,Italy,Italian,DevOps,9,30,1.4,FALSE,0.74
193,250194,Jennifer Cherry,Female,58,Russia,Russian,Blockchain Development,25,30,4.2,TRUE,0.71
194,250195,Brandi Tucker,Female,50,South Africa,Afrikaans,Graphic Design,20,40,3.6,TRUE,0.89
195,250196,Zachary Burke,Male,52,Indonesia,Indonesian,Web Development,33,100,1.6,Unknown,0.66
196,250197,Thomas Jones,Male,34,Netherlands,Dutch,Data Analysis,6,100,2,FALSE,0.79
197,250198,Brian Dunn,Male,32,France,French,Machine Learning,11,40,4.3,TRUE,0.86
198,250199,Shirley Strickland,Female,50,India,Hindi,Graphic Design,28,100,4.9,TRUE,0.86
199,250200,Nicole Meyers,Female,39,Argentina,Spanish,Data Analysis,11,100,3.5,TRUE,0.82
200,250201,Jill Stephens,Female,25,Spain,Spanish,AI,2,100,2.5,FALSE,0.87
201,250202,Heidi Miranda,Female,55,China,Mandarin,Machine Learning,7,100,1.7,TRUE,0.8
202,250203,Jesus Martinez,Male,42,Italy,Italian,DevOps,10,100,4.6,TRUE,0.71
203,250204,Adam Payne,Male,43,Russia,Russian,Mobile Apps,6,50,2.5,FALSE,0.77
204,250205,Walter Williams,Male,54,Italy,Italian,DevOps,29,30,1.7,FALSE,0.68
205,250206,Shannon Farmer,Female,21,Egypt,Arabic,Graphic Design,0,20,1.8,FALSE,0.91
206,250207,Peter Reyes,Male,46,Canada,English,UI/UX Design,5,20,2.2,FALSE,0.75
207,250208,Kristen Knight,Female,30,Spain,Spanish,Blockchain Development,11,40,1,FALSE,0.9
208,250209,William Moore Jr.,Male,36,China,Mandarin,Machine Learning,11,75,3.2,FALSE,0.93
209,250210,Jennifer Rowe,Female,47,Germany,German,Data Analysis,15,40,2.1,TRUE,0.94
210,250211,Mikayla Henry,Female,43,Canada,English,Mobile Apps,1,50,4.6,TRUE,0.64
211,250212,Jacob Kerr,Male,57,South Korea,Korean,Cybersecurity,8,20,0,TRUE,0.84
212,250213,Ryan Johnson,Male,52,Italy,Italian,Machine Learning,30,20,2.8,FALSE,0.87
213,250214,Michael Ruiz,Male,41,Germany,German,Blockchain Development,8,40,0,FALSE,0.64
214,250215,Monica Roberts,Female,22,Indonesia,Indonesian,Machine Learning,0,100,2.7,TRUE,0.64
215,250216,Danny Brown,Male,41,India,Hindi,Machine Learning,12,20,0,TRUE,0.8
216,250217,Karen Larsen,Female,58,Spain,Spanish,Mobile Apps,4,50,3.1,FALSE,0.9
217,250218,Robert Evans,Male,39,South Korea,Korean,Web Development,14,100,0,TRUE,0.92
218,250219,Sean Poole,Male,32,Indonesia,Indonesian,Graphic Design,14,40,2.5,FALSE,0.96
219,250220,Richard Quinn,Male,37,Canada,English,UI/UX Design,2,30,2.3,TRUE,0.79
220,250221,Jennifer Gonzalez,Female,21,China,Mandarin,Cybersecurity,2,100,2.4,TRUE,0.79
221,250222,James Skinner,Male,41,South Korea,Korean,Machine Learning,4,75,2.6,Unknown,0.85
222,250223,Michelle Hill,Female,21,Canada,English,AI,0,40,1.1,FALSE,0.79
223,250224,Jacqueline Williams,Female,58,China,Mandarin,Machine Learning,9,30,0,TRUE,0.65
224,250225,Darrell Johnson,Male,60,Canada,English,Machine Learning,3,40,4.7,FALSE,0.63
225,250226,Ryan Crawford,Male,27,South Africa,Afrikaans,Web Development,2,40,1.2,FALSE,0.79
226,250227,Chelsea Barber,Female,29,Germany,German,Machine Learning,10,40,1.2,FALSE,0.78
227,250228,Elaine Martinez,Female,54,Canada,English,Graphic Design,33,75,0,TRUE,0.62
228,250229,Joseph Kent,Male,52,Mexico,Spanish,Machine Learning,12,40,1.2,FALSE,0.76
229,250230,Megan Welch,Female,55,Indonesia,Indonesian,Blockchain Development,18,100,2.9,FALSE,0.97
230,250231,Stephen Ramirez,Male,37,Brazil,Portuguese,Blockchain Development,4,40,2.5,FALSE,0.79
231,250232,Chloe Gray,Female,34,Egypt,Arabic,Data Analysis,11,50,3.9,TRUE,0.82
232,250233,Michael Williams Jr.,Male,20,France,French,Data Analysis,1,50,3.1,Unknown,0.71
233,250234,Matthew Martin,Male,22,Mexico,Spanish,UI/UX Design,2,50,0,TRUE,0.79
234,250235,Julia Murphy,Female,23,South Korea,Korean,Graphic Design,2,50,3.2,TRUE,0.79
235,250236,Anna Evans,Female,53,South Korea,Korean,Blockchain Development,34,30,2.5,TRUE,0.79
236,250237,Brenda Fleming,Female,56,South Korea,Korean,Graphic Design,27,100,4.7,TRUE,0.69
237,250238,Daniel Harrington,Male,27,Canada,English,AI,4,75,5,FALSE,0.88
238,250239,Daniel Barnett,Male,34,Italy,Italian,Mobile Apps,11,40,2.5,FALSE,0.67
239,250240,Mark Cummings,Male,29,United States,English,Web Development,4,50,4,FALSE,0.79
240,250241,Christopher Guerra,Male,34,India,Hindi,AI,11,40,1.2,TRUE,0.79
241,250242,Sarah Ho,Female,32,Mexico,Spanish,AI,1,100,4.7,FALSE,0.67
242,250243,Veronica Thomas,Female,21,South Africa,Afrikaans,Machine Learning,2,20,2.4,Unknown,0.86
243,250244,Mitchell Watson,Male,20,Mexico,Spanish,Graphic Design,2,40,1.1,FALSE,0.69
244,250245,Monica Murphy,Female,35,United States,English,Mobile Apps,10,50,1.4,TRUE,0.85
245,250246,Kristen Williams,Female,47,United States,English,UI/UX Design,18,40,3.4,FALSE,0.6
246,250247,Nicole Wright,Female,41,Turkey,Turkish,Blockchain Development,4,40,2.7,TRUE,0.7
247,250248,Andrew Ruiz,Male,58,Argentina,Spanish,Web Development,23,40,4.9,FALSE,0.79
248,250249,Zachary Jackson,Male,34,China,Mandarin,Data Analysis,6,75,1.9,TRUE,0.81
249,250250,Stephanie Carter,Female,50,India,Hindi,Mobile Apps,5,100,2.5,TRUE,0.79
250,250251,Amy Olson,Female,42,Mexico,Spanish,DevOps,19,75,4.6,FALSE,0.78
251,250252,Fred Stark,Male,43,Germany,German,UI/UX Design,6,50,0,FALSE,0.81
252,250253,Jacob Gill,Male,34,Germany,German,Data Analysis,8,75,1.8,TRUE,0.71
253,250254,Anthony Nichols,Male,24,Spain,Spanish,Mobile Apps,3,75,2,FALSE,0.79
254,250255,William Knapp,Male,48,South Africa,Afrikaans,UI/UX Design,8,30,5,TRUE,0.99
255,250256,Elizabeth Walker,Female,39,South Korea,Korean,Data Analysis,12,20,3.2,TRUE,0.66
256,250257,Brenda Reeves,Female,57,Australia,English,Blockchain Development,30,30,2.4,Unknown,0.8
257,250258,Carrie Little,Female,44,Canada,English,Web Development,21,100,2.9,FALSE,0.83
258,250259,Steven Jackson,Male,37,Brazil,Portuguese,UI/UX Design,17,20,0,TRUE,0.87
259,250260,Mark Perry,Male,50,Turkey,Turkish,Data Analysis,9,30,3,FALSE,0.76
260,250261,Cameron Spencer,Male,50,Spain,Spanish,UI/UX Design,2,50,1.6,FALSE,0.89
261,250262,Jennifer Holmes,Female,28,France,French,Graphic Design,1,20,3.6,TRUE,0.94
262,250263,Jacob Joseph,Male,48,Italy,Italian,Web Development,23,40,2.1,FALSE,0.68
263,250264,Jeffery Tucker,Male,42,Germany,German,DevOps,8,30,3.6,TRUE,0.96
264,250265,Jacqueline Drake,Female,37,Canada,English,Data Analysis,6,20,2.7,TRUE,0.91
265,250266,Brian Bautista,Male,21,India,Hindi,Blockchain Development,1,100,2.1,TRUE,0.92
266,250267,Dakota Wells,Male,50,South Korea,Korean,Web Development,19,40,4.9,Unknown,0.82
267,250268,Julie White,Female,22,Argentina,Spanish,AI,2,30,2.1,Unknown,0.79
268,250269,Barbara Keith,Female,39,Japan,Japanese,Web Development,21,100,0,FALSE,0.91
269,250270,Heather Camacho,Female,25,Japan,Japanese,Machine Learning,3,50,2.8,TRUE,0.86
270,250271,Melanie Harris,Female,47,South Africa,Afrikaans,Mobile Apps,14,40,2.5,FALSE,0.69
271,250272,Jacqueline Peterson,Female,35,South Africa,Afrikaans,UI/UX Design,10,100,4.7,TRUE,0.84
272,250273,Nancy Long,Female,41,United Kingdom,English,Cybersecurity,5,100,1.3,FALSE,0.6
273,250274,Mr. Juan Mitchell,Male,35,Netherlands,Dutch,Blockchain Development,6,75,1.6,TRUE,0.97
274,250275,William Gaines,Male,59,France,French,Web Development,21,100,0,Unknown,0.7
275,250276,Haley Yates,Female,26,China,Mandarin,UI/UX Design,4,100,3.6,FALSE,0.81
276,250277,Richard Mcguire,Male,44,Russia,Russian,Machine Learning,18,20,4.7,TRUE,0.88
